分子公司,大区,营业部,两轮车,平板三轮车,普通三轮车,面包车,总车辆数(默认1辆车跑客户用),部门人数,滚动产值
A城市,东区,A1营业部,1,1,6,0,7,11,1702814
A城市,东区,A2营业部,2,8,1,1,11,11,2334546
A城市,东区,A3营业部,0,1,6,1,8,9,1651667
A城市,东区,A4营业部,3,0,7,1,10,13,2100089
A城市,东区,A5营业部,1,0,7,3,10,17,2921912
A城市,东区,A6营业部,2,0,14,0,15,18,3327844
A城市,东区,A7营业部,4,0,8,2,13,15,2777204
A城市,东区,A8营业部,1,0,11,0,11,14,2447138
A城市,东区,A9营业部,9,4,0,1,13,11,1579274
A城市,东区,A10营业部,1,0,5,3,8,9,1580779
A城市,东区,A11营业部,2,0,8,0,9,11,2209507
A城市,东区,A12营业部,2,0,7,0,8,8,1505378
A城市,东区,A13营业部,3,1,3,3,9,9,1605221
A城市,东区,A14营业部,0,0,9,0,9,14,2028905
A城市,东区,A15营业部,1,0,11,0,11,15,2504984
A城市,南区,A16营业部,1,0,5,2,7,10,1636218
A城市,南区,A17营业部,1,0,5,2,7,12,1735696
A城市,南区,A18营业部,1,0,7,0,7,11,2082834
A城市,南区,A19营业部,2,0,6,0,7,10,1666330
A城市,南区,A20营业部,2,0,5,0,6,5,972082
A城市,南区,A21营业部,1,0,6,1,7,9,1549835
A城市,南区,A22营业部,0,0,9,0,9,12,2045924
A城市,南区,A23营业部,2,0,8,0,9,10,1701076
A城市,南区,A24营业部,2,0,5,2,8,11,205914
A城市,南区,A25营业部,4,0,5,0,8,10,2090336
A城市,南区,A26营业部,3,3,0,0,5,6,1055155
A城市,南区,A27营业部,3,6,0,1,9,12,1871952
A城市,南区,A28营业部,3,0,5,0,7,7,1241272
A城市,南区,A29营业部,0,0,9,1,10,13,2420476
A城市,西区,A30营业部,1,0,6,1,7,9,1382566
A城市,西区,A31营业部,3,0,7,0,9,11,2294609
A城市,西区,A32营业部,1,0,7,3,10,13,2352761
A城市,西区,A33营业部,0,0,6,0,6,8,1647036
A城市,西区,A34营业部,0,1,7,0,8,10,2021381
A城市,西区,A35营业部,2,0,8,0,9,11,2199225
A城市,西区,A36营业部,2,0,6,0,7,8,1301213
A城市,西区,A37营业部,10,2,1,0,12,16,2489210
A城市,西区,A38营业部,3,0,14,1,17,20,3818514
A城市,西区,A39营业部,11,0,2,1,13,13,2727917
A城市,西区,A40营业部,9,0,0,1,9,12,2222004
A城市,西区,A41营业部,1,0,11,0,11,15,2358697
A城市,西区,A42营业部,1,1,6,0,7,9,1777080
A城市,北区,A43营业部,4,1,8,1,13,13,2461664
A城市,北区,A44营业部,1,0,7,1,8,9,1577478
A城市,北区,A45营业部,1,0,9,1,10,10,1947794
A城市,北区,A46营业部,2,0,10,1,12,14,2514578
A城市,北区,A47营业部,1,1,6,0,7,11,1466300
A城市,北区,A48营业部,8,7,2,2,18,17,2914318
A城市,北区,A49营业部,2,0,9,0,10,13,2220335
A城市,北区,A50营业部,6,3,1,1,10,11,2324338
A城市,北区,A51营业部,1,0,5,2,7,9,1506895
A城市,北区,A52营业部,9,6,1,1,16,16,2923154
A城市,北区,A53营业部,6,2,3,0,10,11,1971186
A城市,北区,A54营业部,2,1,2,1,5,7,1281007
A城市,北区,A55营业部,1,0,7,0,7,13,2484348